arleta,34.7 / sq mi
burbank,21.5 / sq mi
canoga-park,30.6 / sq mi
chatsworth,8.9 / sq mi
chatsworth-reservoir,21.8 / sq mi
encino,14.1 / sq mi
granada-hills,5.5 / sq mi
hansen-dam,1.5 / sq mi
lake-balboa,16.7 / sq mi
lake-view-terrace,1.2 / sq mi
mission-hills,6.9 / sq mi
north-hills,125.4 / sq mi
north-hollywood,78.9 / sq mi
northridge,12.4 / sq mi
pacoima,10.1 / sq mi
panorama-city,21.5 / sq mi
porter-ranch,8.1 / sq mi
reseda,17.2 / sq mi
san-fernando,31.0 / sq mi
sepulveda-basin,19.4 / sq mi
shadow-hills,19.4 / sq mi
sherman-oaks,12.1 / sq mi
studio-city,20.1 / sq mi
sun-valley,12.7 / sq mi
sylmar,2.6 / sq mi
tarzana,34.1 / sq mi
toluca-lake,45.0 / sq mi
universal-city,60.3 / sq mi
valley-glen,21.4 / sq mi
valley-village,18.6 / sq mi
van-nuys,27.9 / sq mi
west-hills,9.2 / sq mi
winnetka,123.0 / sq mi
woodland-hills,8.1 / sq mi
altadena,8.1 / sq mi
glendale,7.4 / sq mi
la-canada-flintridge,44.4 / sq mi
la-crescenta-montrose,15.2 / sq mi
pasadena,11.2 / sq mi
sunland,14.3 / sq mi
tujunga,11.6 / sq mi
agoura-hills,6.7 / sq mi
calabasas,13.2 / sq mi
hidden-hills,29.5 / sq mi
malibu,1.6 / sq mi
topanga,8.3 / sq mi
unincorporated-santa-monica-mountains,0.1 / sq mi
westlake-village,9.0 / sq mi
atwater-village,16.6 / sq mi
cypress-park,13.2 / sq mi
eagle-rock,24.6 / sq mi
glassell-park,13.2 / sq mi
highland-park,24.2 / sq mi
montecito-heights,1.6 / sq mi
mount-washington,3.2 / sq mi
boyle-heights,26.1 / sq mi
east-los-angeles,16.6 / sq mi
el-sereno,9.6 / sq mi
lincoln-heights,19.4 / sq mi
arlington-heights,32.4 / sq mi
beverly-grove,77.8 / sq mi
carthay,26.6 / sq mi
chinatown,108.9 / sq mi
downtown,56.0 / sq mi
east-hollywood,67.7 / sq mi
echo-park,30.4 / sq mi
elysian-park,11.6 / sq mi
elysian-valley,5.0 / sq mi
fairfax,50.9 / sq mi
griffith-park,5.0 / sq mi
hancock-park,10.8 / sq mi
harvard-heights,60.2 / sq mi
hollywood,64.6 / sq mi
hollywood-hills,3.4 / sq mi
hollywood-hills-west,9.7 / sq mi
koreatown,103.1 / sq mi
larchmont,33.4 / sq mi
los-feliz,21.9 / sq mi
mid-city,17.8 / sq mi
mid-wilshire,37.0 / sq mi
pico-union,50.7 / sq mi
silver-lake,65.7 / sq mi
west-hollywood,79.8 / sq mi
westlake,52.4 / sq mi
windsor-square,128.7 / sq mi
adams-normandie,35.9 / sq mi
athens,6.2 / sq mi
baldwin-hillscrenshaw,20.5 / sq mi
broadway-manchester,5.5 / sq mi
central-alameda,57.6 / sq mi
chesterfield-square,22.6 / sq mi
exposition-park,22.3 / sq mi
florence,20.9 / sq mi
florence-firestone,17.6 / sq mi
gramercy-park,20.6 / sq mi
green-meadows,4.8 / sq mi
harvard-park,8.5 / sq mi
historic-south-central,49.0 / sq mi
hyde-park,7.0 / sq mi
jefferson-park,15.3 / sq mi
leimert-park,9.6 / sq mi
manchester-square,25.0 / sq mi
south-park,43.9 / sq mi
university-park,56.1 / sq mi
vermont-knolls,10.2 / sq mi
vermont-slauson,17.0 / sq mi
vermont-square,10.4 / sq mi
vermont-vista,7.9 / sq mi
view-park-windsor-hills,8.5 / sq mi
watts,5.1 / sq mi
west-adams,17.6 / sq mi
westmont,7.0 / sq mi
willowbrook,8.5 / sq mi
alondra-park,52.9 / sq mi
del-aire,13.1 / sq mi
el-segundo,23.8 / sq mi
gardena,25.4 / sq mi
hawthorne,20.1 / sq mi
hermosa-beach,55.7 / sq mi
inglewood,15.7 / sq mi
lawndale,28.9 / sq mi
lennox,30.4 / sq mi
lomita,31.8 / sq mi
manhattan-beach,23.1 / sq mi
palos-verdes-estates,1.7 / sq mi
playa-del-rey,25.8 / sq mi
rancho-palos-verdes,5.9 / sq mi
redondo-beach,35.9 / sq mi
rolling-hills,9.4 / sq mi
rolling-hills-estates,11.2 / sq mi
torrance,14.9 / sq mi
westchester,99.5 / sq mi
bel-air,2.2 / sq mi
beverly-crest,25.6 / sq mi
beverly-hills,45.0 / sq mi
beverlywood,38.8 / sq mi
brentwood,2.7 / sq mi
century-city,57.3 / sq mi
cheviot-hills,36.3 / sq mi
culver-city,32.4 / sq mi
del-rey,21.7 / sq mi
ladera-heights,39.6 / sq mi
marina-del-rey,32.0 / sq mi
mar-vista,92.7 / sq mi
pacific-palisades,4.7 / sq mi
palms,32.8 / sq mi
pico-robertson,55.7 / sq mi
playa-vista,24.8 / sq mi
rancho-park,31.2 / sq mi
santa-monica,41.6 / sq mi
sawtelle,53.7 / sq mi
venice,41.2 / sq mi
veterans-administration,8.7 / sq mi
west-los-angeles,39.2 / sq mi
westwood,29.7 / sq mi
