arleta,16.2 / 10k pop / yr
burbank,15.6 / 10k pop / yr
canoga-park,35.2 / 10k pop / yr
chatsworth,12.4 / 10k pop / yr
chatsworth-reservoir,12.4 / 10k pop / yr
encino,14.8 / 10k pop / yr
granada-hills,10.6 / 10k pop / yr
hansen-dam,26.6 / 10k pop / yr
lake-balboa,22.1 / 10k pop / yr
lake-view-terrace,22.8 / 10k pop / yr
mission-hills,20.1 / 10k pop / yr
north-hills,28.5 / 10k pop / yr
north-hollywood,24.9 / 10k pop / yr
northridge,25.0 / 10k pop / yr
pacoima,26.6 / 10k pop / yr
panorama-city,28.4 / 10k pop / yr
porter-ranch,3.3 / 10k pop / yr
reseda,22.1 / 10k pop / yr
san-fernando,21.2 / 10k pop / yr
sepulveda-basin,14.8 / 10k pop / yr
shadow-hills,14.7 / 10k pop / yr
sherman-oaks,15.9 / 10k pop / yr
studio-city,11.8 / 10k pop / yr
sun-valley,22.9 / 10k pop / yr
sylmar,21.2 / 10k pop / yr
tarzana,19.3 / 10k pop / yr
toluca-lake,4.7 / 10k pop / yr
universal-city,11.8 / 10k pop / yr
valley-glen,19.9 / 10k pop / yr
valley-village,12.9 / 10k pop / yr
van-nuys,34.3 / 10k pop / yr
west-hills,10.6 / 10k pop / yr
winnetka,24.8 / 10k pop / yr
woodland-hills,17.3 / 10k pop / yr
altadena,7.3 / 10k pop / yr
glendale,5.1 / 10k pop / yr
la-canada-flintridge,3.4 / 10k pop / yr
la-crescenta-montrose,4.9 / 10k pop / yr
pasadena,14.8 / 10k pop / yr
sunland,14.6 / 10k pop / yr
tujunga,12.7 / 10k pop / yr
agoura-hills,2.0 / 10k pop / yr
calabasas,3.9 / 10k pop / yr
hidden-hills,0.0 / 10k pop / yr
malibu,15.2 / 10k pop / yr
topanga,9.4 / 10k pop / yr
unincorporated-santa-monica-mountains,5.6 / 10k pop / yr
westlake-village,9.2 / 10k pop / yr
atwater-village,16.2 / 10k pop / yr
cypress-park,31.3 / 10k pop / yr
eagle-rock,11.6 / 10k pop / yr
glassell-park,14.5 / 10k pop / yr
highland-park,14.1 / 10k pop / yr
montecito-heights,17.6 / 10k pop / yr
mount-washington,8.9 / 10k pop / yr
boyle-heights,39.5 / 10k pop / yr
east-los-angeles,39.5 / 10k pop / yr
el-sereno,20.1 / 10k pop / yr
lincoln-heights,43.9 / 10k pop / yr
arlington-heights,29.1 / 10k pop / yr
beverly-grove,33.3 / 10k pop / yr
carthay,43.0 / 10k pop / yr
chinatown,19.1 / 10k pop / yr
downtown,43.9 / 10k pop / yr
east-hollywood,34.8 / 10k pop / yr
echo-park,23.0 / 10k pop / yr
elysian-park,52.6 / 10k pop / yr
elysian-valley,14.1 / 10k pop / yr
fairfax,49.4 / 10k pop / yr
griffith-park,14.9 / 10k pop / yr
hancock-park,26.2 / 10k pop / yr
harvard-heights,55.5 / 10k pop / yr
hollywood,54.4 / 10k pop / yr
hollywood-hills,20.4 / 10k pop / yr
hollywood-hills-west,21.9 / 10k pop / yr
koreatown,31.1 / 10k pop / yr
larchmont,22.8 / 10k pop / yr
los-feliz,14.9 / 10k pop / yr
mid-city,29.6 / 10k pop / yr
mid-wilshire,18.9 / 10k pop / yr
pico-union,43.0 / 10k pop / yr
silver-lake,9.4 / 10k pop / yr
west-hollywood,37.2 / 10k pop / yr
westlake,46.0 / 10k pop / yr
windsor-square,22.6 / 10k pop / yr
adams-normandie,37.3 / 10k pop / yr
athens,97.8 / 10k pop / yr
baldwin-hillscrenshaw,72.2 / 10k pop / yr
broadway-manchester,93.0 / 10k pop / yr
central-alameda,54.5 / 10k pop / yr
chesterfield-square,180.2 / 10k pop / yr
exposition-park,62.2 / 10k pop / yr
florence,82.8 / 10k pop / yr
florence-firestone,46.4 / 10k pop / yr
gramercy-park,94.0 / 10k pop / yr
green-meadows,97.2 / 10k pop / yr
harvard-park,103.8 / 10k pop / yr
historic-south-central,60.9 / 10k pop / yr
hyde-park,84.9 / 10k pop / yr
jefferson-park,43.2 / 10k pop / yr
leimert-park,102.3 / 10k pop / yr
manchester-square,117.2 / 10k pop / yr
south-park,68.5 / 10k pop / yr
university-park,28.6 / 10k pop / yr
vermont-knolls,110.8 / 10k pop / yr
vermont-slauson,106.1 / 10k pop / yr
vermont-square,86.6 / 10k pop / yr
vermont-vista,136.2 / 10k pop / yr
view-park-windsor-hills,24.4 / 10k pop / yr
watts,79.7 / 10k pop / yr
west-adams,50.8 / 10k pop / yr
westmont,87.1 / 10k pop / yr
willowbrook,65.8 / 10k pop / yr
alondra-park,24.4 / 10k pop / yr
del-aire,16.6 / 10k pop / yr
el-segundo,15.2 / 10k pop / yr
gardena,23.5 / 10k pop / yr
hawthorne,38.5 / 10k pop / yr
hermosa-beach,11.5 / 10k pop / yr
inglewood,35.9 / 10k pop / yr
lawndale,20.2 / 10k pop / yr
lennox,30.1 / 10k pop / yr
lomita,17.0 / 10k pop / yr
manhattan-beach,5.6 / 10k pop / yr
palos-verdes-estates,2.5 / 10k pop / yr
