arleta,82.9
burbank,74.3
canoga-park,64.8
chatsworth,67.9
chatsworth-reservoir,67.9
encino,72.8
granada-hills,77.8
hansen-dam,85.5
lake-balboa,73.4
lake-view-terrace,86.5
mission-hills,73.2
north-hills,77.4
north-hollywood,67.2
northridge,56.3
pacoima,85.5
panorama-city,76.2
porter-ranch,88.3
reseda,77.2
san-fernando,85.1
sepulveda-basin,72.8
shadow-hills,80.3
sherman-oaks,66.8
studio-city,61.2
sun-valley,79.4
sylmar,85.1
tarzana,67.7
toluca-lake,64.9
universal-city,61.2
valley-glen,71.6
valley-village,69.5
van-nuys,71.4
west-hills,82.0
winnetka,77.0
woodland-hills,62.8
altadena,92.7
glendale,84.7
la-canada-flintridge,88.5
la-crescenta-montrose,90.7
pasadena,71.5
sunland,82.8
tujunga,87.8
agoura-hills,90.5
calabasas,91.7
hidden-hills,90.0
malibu,67.2
topanga,92.8
unincorporated-santa-monica-mountains,89.2
westlake-village,78.9
atwater-village,86.4
cypress-park,71.6
eagle-rock,78.1
glassell-park,86.7
highland-park,86.6
montecito-heights,88.3
mount-washington,80.8
boyle-heights,76.9
east-los-angeles,76.9
el-sereno,89.2
lincoln-heights,70.7
arlington-heights,80.9
beverly-grove,32.9
carthay,61.3
chinatown,89.8
downtown,73.8
east-hollywood,78.5
echo-park,77.1
elysian-park,24.0
elysian-valley,93.0
fairfax,23.3
griffith-park,71.2
hancock-park,59.5
harvard-heights,73.6
hollywood,50.9
hollywood-hills,63.5
hollywood-hills-west,66.6
koreatown,75.2
larchmont,65.4
los-feliz,71.2
mid-city,77.2
mid-wilshire,67.2
pico-union,80.2
silver-lake,73.9
west-hollywood,43.7
westlake,79.7
windsor-square,72.1
adams-normandie,79.0
athens,53.6
baldwin-hillscrenshaw,35.6
broadway-manchester,59.8
central-alameda,77.7
chesterfield-square,0.0
exposition-park,73.1
florence,57.8
florence-firestone,74.3
gramercy-park,57.9
green-meadows,54.1
harvard-park,56.2
historic-south-central,69.9
hyde-park,73.9
jefferson-park,81.4
leimert-park,42.9
manchester-square,54.9
south-park,73.6
university-park,49.9
vermont-knolls,54.7
vermont-slauson,50.0
vermont-square,69.3
vermont-vista,54.4
view-park-windsor-hills,75.4
watts,72.7
west-adams,75.0
westmont,76.1
willowbrook,80.9
alondra-park,77.5
del-aire,78.3
el-segundo,62.7
gardena,74.3
hawthorne,65.4
hermosa-beach,68.5
inglewood,72.3
lawndale,84.4
lennox,89.3
lomita,85.8
manhattan-beach,72.4
palos-verdes-estates,93.6
playa-del-rey,69.6
rancho-palos-verdes,92.6
redondo-beach,76.8
rolling-hills,98.4
rolling-hills-estates,84.4
torrance,80.6
westchester,39.6
bel-air,90.8
beverly-crest,88.3
beverly-hills,63.8
beverlywood,84.8
brentwood,78.1
century-city,100.0
cheviot-hills,64.9
culver-city,47.5
del-rey,76.9
ladera-heights,54.9
marina-del-rey,37.0
mar-vista,84.9
pacific-palisades,86.0
palms,82.3
pico-robertson,69.6
playa-vista,32.9
rancho-park,17.4
santa-monica,61.3
sawtelle,72.0
venice,55.3
veterans-administration,72.0
west-los-angeles,46.8
westwood,83.8
