century-city,78.2
porter-ranch,31.7
panorama-city,60.9
sun-valley,41.3
veterans-administration,57.3
arlington-heights,81.3
sylmar,24.6
venice,81.0
playa-vista,50.4
del-rey,62.5
pasadena,72.0
encino,28.7
elysian-valley,43.5
torrance,64.0
la-crescenta-montrose,41.2
valley-village,70.6
toluca-lake,60.2
harvard-park,73.2
manhattan-beach,71.6
mid-wilshire,80.8
bel-air,7.2
leimert-park,74.8
studio-city,41.7
hermosa-beach,84.0
del-aire,54.2
east-los-angeles,70.2
calabasas,12.2
carthay,87.7
west-hills,42.6
fairfax,91.2
rolling-hills-estates,18.6
elysian-park,33.7
mission-hills,46.7
playa-del-rey,34.8
pacoima,47.1
marina-del-rey,39.3
vermont-vista,61.0
rolling-hills,6.5
harvard-heights,87.3
lennox,72.7
inglewood,64.8
montecito-heights,38.4
sherman-oaks,47.8
east-hollywood,84.7
pico-union,86.1
hollywood-hills-west,22.4
highland-park,73.7
mount-washington,43.3
redondo-beach,72.6
topanga,2.8
baldwin-hillscrenshaw,50.3
brentwood,14.9
echo-park,79.2
glendale,44.4
vermont-square,73.0
universal-city,39.2
west-adams,71.7
chatsworth,20.3
watts,66.8
rancho-palos-verdes,25.3
el-segundo,59.1
el-sereno,54.0
view-park-windsor-hills,58.7
burbank,46.1
lomita,73.1
vermont-knolls,66.2
hansen-dam,15.2
unincorporated-santa-monica-mountains,1.3
university-park,85.7
van-nuys,53.5
eagle-rock,60.8
sawtelle,79.0
westlake,83.8
rancho-park,75.7
pacific-palisades,13.2
florence,70.8
canoga-park,62.3
palos-verdes-estates,10.8
jefferson-park,70.8
sunland,34.3
vermont-slauson,76.9
athens,46.8
culver-city,68.5
westlake-village,22.6
glassell-park,59.8
granada-hills,24.8
hollywood,91.2
pico-robertson,88.2
cypress-park,72.2
agoura-hills,16.9
malibu,11.1
northridge,37.2
valley-glen,66.6
woodland-hills,36.6
west-hollywood,87.9
downtown,79.0
willowbrook,58.1
north-hollywood,69.2
beverlywood,62.8
gramercy-park,61.7
san-fernando,74.8
chatsworth-reservoir,7.2
chinatown,76.4
historic-south-central,86.6
westchester,48.4
north-hills,47.1
adams-normandie,74.7
ladera-heights,24.9
mar-vista,60.8
la-canada-flintridge,31.8
beverly-crest,4.5
hidden-hills,3.5
hyde-park,66.4
lake-balboa,50.9
sepulveda-basin,27.8
alondra-park,60.3
los-feliz,55.4
winnetka,51.8
tarzana,29.9
lawndale,81.4
silver-lake,71.5
windsor-square,68.2
manchester-square,68.0
shadow-hills,4.6
central-alameda,66.5
arleta,49.3
south-park,76.8
chesterfield-square,72.2
beverly-hills,61.1
cheviot-hills,50.6
palms,77.8
koreatown,91.5
hawthorne,63.3
florence-firestone,70.6
westwood,59.3
atwater-village,53.6
green-meadows,62.0
broadway-manchester,63.4
boyle-heights,73.8
santa-monica,81.2
hancock-park,65.6
tujunga,18.8
beverly-grove,87.8
hollywood-hills,31.6
altadena,41.0
griffith-park,13.6
westmont,57.8
west-los-angeles,77.3
mid-city,75.2
gardena,73.2
lincoln-heights,69.8
larchmont,80.9
reseda,48.6
lake-view-terrace,14.2
exposition-park,71.2
