century-city,6,6,6,6,6
porter-ranch,7,6,7,8,7
panorama-city,3,4,3,2,2
sun-valley,4,4,4,5,1
veterans-administration,5,6
arlington-heights,3,3,3,5,5
sylmar,3,4,4,3,4
venice,5,5,4,4,5
playa-vista,5,5,3,5,5
del-rey,3,4,4,4,4
pasadena,4,5,5,5,5
encino,5,7,6,6,7
elysian-valley,6,6,4,4,6
torrance,9,9,9,8,8
la-crescenta-montrose,9,10,9,10,10
valley-village,8,8,8,6,5
toluca-lake,6,6,6,6,6
harvard-park,1,2,2,1,2
manhattan-beach,10,10,10,10,10
mid-wilshire,3,5,5,5,3
bel-air,7,5,7,7,7
leimert-park,2,2,1,1,1
studio-city,6,8,7,7,8
hermosa-beach,10,10,10,10,9
del-aire,6,6,6,6,6
east-los-angeles,6,4,4,5,3
calabasas,6,6,6,6,6
carthay,5,5,5,5,5
west-hills,8,5,8,5,8
fairfax,5,7,5,5,5
rolling-hills-estates,9,9,9,10,10
elysian-park,4,6,6,6,4
mission-hills,4,6,6,3,6
playa-del-rey,4,4,4,4,4
pacoima,4,4,3,3,3
marina-del-rey,5,4,5,5,5
vermont-vista,1,2,2,1,2
rolling-hills,9,9,9,9,9
harvard-heights,5,2,4,3,2
lennox,4,4,4,4,4
inglewood,2,1,3,2,3
montecito-heights,4,4,5,4,5
sherman-oaks,7,5,5,6,5
east-hollywood,3,6,3,7,4
pico-union,2,4,4,4,3
hollywood-hills-west,7,5,7,6,7
highland-park,5,5,5,5,5
mount-washington,4,7,7,7,7
redondo-beach,8,8,7,8,8
topanga,9,9,7,9,7
baldwin-hillscrenshaw,1,1,1,2,2
brentwood,6,6,6,9,7
echo-park,8,7,8,8,4
glendale,7,7,9,7,7
vermont-square,2,1,1,1,1
universal-city,6,6,6,6,6
west-adams,2,2,2,2,4
chatsworth,6,6,6,6,6
watts,2,2,2,2,2
rancho-palos-verdes,10,10,6,9,10
el-segundo,9,9,9,9,9
el-sereno,4,3,6,3,4
view-park-windsor-hills,2,2,2,2,3
burbank,7,7,7,6,7
lomita,5,5,4,4,5
vermont-knolls,1,1,1,2,1
hansen-dam,4,4,5,4,5
unincorporated-santa-monica-mountains,6,9,6,6,9
university-park,3,3,3,3,3
van-nuys,4,3,3,6,3
eagle-rock,5,6,7,7,8
sawtelle,4,4,4,4,4
westlake,4,4,5,4,3
rancho-park,7,6,6,7,7
pacific-palisades,9,7,9,9,9
florence,2,2,1,2,2
canoga-park,3,5,5,4,5
palos-verdes-estates,9,9,9,9,9
jefferson-park,2,2,2,3,2
sunland,6,6,6,6,6
vermont-slauson,2,2,2,1,2
athens,2,2,2,2,2
culver-city,8,8,8,8,8
westlake-village,9,9,9,9,9
glassell-park,2,5,2,2,5
granada-hills,7,6,8,6,6
hollywood,4,3,3,5,5
pico-robertson,7,7,5,5,5
cypress-park,4,5,2,4,4
agoura-hills,9,9,9,9,9
malibu,9,9,9,9,9
northridge,7,2,7,7,8
valley-glen,5,4,5,4,5
woodland-hills,5,5,8,6,5
west-hollywood,5,5,7,7,9
downtown,3,3
willowbrook,2,2,2,2,1
north-hollywood,3,3,3,3,4
beverlywood,7,7,5,7,7
gramercy-park,1,2,2,2,2
san-fernando,3,4,4,4,4
chatsworth-reservoir,3,4,4,4,4
chinatown,6,6,6,6,6
historic-south-central,3,3,3,3,3
westchester,3,4,3,3,3
north-hills,7,5,5,7,5
adams-normandie,2,4,2,3,2
ladera-heights,3,3,2,2,3
mar-vista,5,5,3,3,3
